Neighbourhood,Votes
Abbeydale,0
Acadia,0
Albert Park/Radisson Heights,0
Alpine Park,0
Altadore,0
Ambleton,0
Applewood Park,0
Arbour Lake,0
Aspen Woods,0
Auburn Bay,0
Banff Trail,0
Bankview,0
Bayview,0
Beddington Heights,0
Bel-Aire,0
Belmont,0
Beltline,0
Belvedere,0
Bonavista Downs,0
Bowness,0
Braeside,0
Brentwood,0
Bridgeland/Riverside,0
Bridlewood,0
Britannia,0
Cambrian Heights,0
Canyon Meadows,0
Capitol Hill,0
Carrington,0
Castleridge,0
Cedarbrae,0
Chaparral,0
Charleswood,0
Chinatown,0
Chinook Park,0
Christie Park,0
Citadel,0
Cityscape,0
Cliff Bungalow,0
Coach Hill,0
Collingwood,0
Copperfield,0
Coral Springs,0
Cornerstone,0
Cougar Ridge,0
Country Hills,0
Country Hills Village,0
Coventry Hills,0
Cranston,0
Crescent Heights,0
Crestmont,0
Currie Barracks,0
Dalhousie,0
Deer Ridge,0
Deer Run,0
Diamond Cove,0
Discovery Ridge,0
Douglasdale/Glen,0
Dover,0
Downtown Commercial Core,0
Downtown East Village,0
Downtown West End,0
Eagle Ridge,0
Eau Claire,0
Edgemont,0
Elbow Park,0
Elboya,0
Erin Woods,0
Erlton,0
Evanston,0
Evergreen,0
Fairview,0
Falconridge,0
Forest Heights,0
Forest Lawn,0
Garrison Green,0
Garrison Woods,0
Glacier Ridge,0
Glamorgan,0
Glenbrook,0
Glendale,0
Greenview,0
Greenwood/Greenbriar,0
Hamptons,0
Harvest Hills,0
Hawkwood,0
Haysboro,0
Hidden Valley,0
Highland Park,0
Highwood,0
Hillhurst,0
Hounsfield Heights/Briar Hill,0
Huntington Hills,0
Inglewood,0
Kelvin Grove,0
Killarney/Glengarry,0
Kincora,0
Kingsland,0
Lake Bonavista,0
Lakeview,0
Legacy,0
Lincoln Park,0
Livingston,0
Lower Mount Royal,0
MacEwan Glen,0
Mahogany,0
Manchester,0
Maple Ridge,0
Marlborough,0
Marlborough Park,0
Martindale,0
Mayfair,0
Mayland Heights,0
McKenzie Lake,0
McKenzie Towne,0
Meadowlark Park,0
Midnapore,0
Millrise,0
Mission,0
Monterey Park,0
Montgomery,0
Mount Pleasant,0
New Brighton,0
Nolan Hill,0
North Glenmore Park,0
North Haven,0
North Haven Upper,0
Oakridge,0
Ogden,0
Palliser,0
Panorama Hills,0
Parkdale,0
Parkhill,0
Parkland,0
Patterson,0
Penbrooke Meadows,0
Pine Creek,0
Pineridge,0
Point McKay,0
Pump Hill,0
Queens Park Village,0
Ramsay,0
Ranchlands,0
Red Carpet,0
Redstone,0
Renfrew,0
Richmond,0
Rideau Park,0
Riverbend,0
Rocky Ridge,0
Rosedale,0
Rosemont,0
Rosscarrock,0
Roxboro,0
Royal Oak,0
Rundle,0
Rutland Park,0
Saddle Ridge,0
Sage Hill,0
Sandstone Valley,0
Scarboro,0
Scarboro/Sunalta West,0
Scenic Acres,0
Seton,0
Shaganappi,0
Shawnee Slopes,0
Shawnessy,0
Shepard Industrial,0
Sherwood,0
Signal Hill,0
Silver Springs,0
Silverado,0
Skyview Ranch,0
Somerset,0
South Calgary,0
Southview,0
Southwood,0
Springbank Hill,0
Spruce Cliff,0
St. Andrews Heights,0
Strathcona Park,0
Sunalta,0
Sundance,0
Sunnyside,0
Taradale,0
Temple,0
Thorncliffe,0
Tuscany,0
Tuxedo Park,0
University District,0
University Heights,0
Upper Mount Royal,0
Valley Ridge,0
Varsity,0
Victoria Park,0
Vista Heights,0
Walden,0
West Hillhurst,0
West Springs,0
Westgate,0
Whitehorn,0
Wildwood,0
Willow Park,0
Windsor Park,0
Winston Heights/Mountview,0
Wolf Willow,0
Woodbine,0
Woodlands,0
Yorkville,0
Albert Park,0
Bridgeland,0
Douglasdale,0
Downtown,0
Killarney,0
Glengarry,0
Marda Loop,0
Quarry Park,0
